ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID346911193,364 Kooyong Rd,CAULFIELD SOUTH,1916000.0,h,28/05/2016,4,2.0,2.0,630.0,109.0,-37.8894,145.0145,19953,1217.86,23.5,False,1540.67,6062.33,477.67,Caulfield Primary School,508.47,99,Japanese School of Melbourne,548.04,not ranked
ID193905068,31 Carrington Rd,NIDDRIE,1190000.0,h,19/11/2016,2,1.0,2.0,650.0,11.0,-37.7378,144.8893,20036,2975.5,27.0,False,71.0,261.0,20.0,St John Bosco's School,652.42,not ranked,Rosehill Secondary College,1025.76,239
ID627338933,4 Lee Ct,HEATHMONT,1000000.0,h,19/08/2017,3,1.0,1.0,715.0,44.0,-37.82707,145.22914,19902,1245.01,38.41,False,512.0,1119.67,175.67,Great Ryrie Primary School,830.35,497,Aquinas College,677.56,151
ID391074968,33 Eleanor St,ASHBURTON,2215000.0,h,10/09/2016,4,2.0,1.0,681.0,79.0,-37.8612,145.0858,19848,400.85,30.67,False,1654.0,9119.67,550.0,Ashburton Primary School,221.37,106,Ashwood High School,1584.31,241
ID170903687,2A Collins St,BRIGHTON,4050000.0,h,12/08/2017,4,4.0,4.0,508.0,8.0,-37.90904000000001,144.99868,19952,576.67,24.5,False,2897.33,11243.0,942.0,Firbank Grammar School,359.53,24,Firbank Grammar School,359.53,29
ID414558307,1/27 Noordenne Av,SEAHOLME,312000.0,u,29/07/2017,1,1.0,0.0,0.0,49.0,-37.86007,144.84578,19927,963.41,24.43,False,1021.67,5132.0,325.0,Seaholme Primary School,692.16,425,Altona College,2394.08,not ranked
ID379910598,47A Madden St,MAIDSTONE,755000.0,h,12/08/2017,3,2.0,2.0,0.0,9.0,-37.78966,144.87821,20023,1490.15,19.4,False,717.33,1763.0,318.67,Footscray North Primary School,501.61,235,Footscray City College,1399.03,166
ID384616952,60 Rose St,BRUNSWICK,947000.0,h,28/05/2016,3,1.0,2.0,996.0,9.0,-37.7564,144.9527,19966,830.75,30.0,False,958.67,5673.0,628.0,Brunswick North Primary School,431.61,not ranked,Brunswick Secondary College,1626.74,211
ID496035684,1 Irving Rd,MELTON,400000.0,h,3/06/2017,4,2.0,2.0,643.0,12.0,-37.68834,144.56803,19980,1710.98,39.6,False,1508.33,6073.0,553.67,Coburn Primary School,833.39,not ranked,Melton Secondary College,733.43,318
ID456029173,15A Riversdale Av,CARRUM,825000.0,h,22/07/2017,3,2.0,1.0,355.0,29.0,-38.07196,145.13036,19858,768.72,60.58,False,5.0,73.0,1.0,Bonbeach Primary School,735.59,368,Patterson River Secondary College,1341.16,not ranked
ID539282731,11/201 Wellington Pde S,EAST MELBOURNE,630000.0,u,25/02/2017,1,1.0,1.0,0.0,49.0,-37.8168,144.9787,19979,475.69,7.07,False,101.33,253.67,33.0,Richmond West Primary School,1539.15,452,Holmes Secondary College,918.08,277
ID725102091,20 Atkinson Cl,WINDSOR,1525000.0,t,3/09/2017,3,2.0,2.0,150.0,49.0,-37.8567,144.99665,19957,411.94,15.5,False,1064.67,4200.67,432.67,Windsor Primary School,107.54,not ranked,Presentation College Windsor,199.47,not ranked
ID119650571,7B Hargreaves St,FITZROY,2725000.0,h,13/05/2017,3,2.0,1.0,0.0,119.0,-37.8007,144.9833,19975,995.77,13.24,False,330.33,1855.0,82.0,Fitzroy Primary School,199.18,not ranked,Collingwood College,682.21,359
ID969227072,2/686 Inkerman Rd,CAULFIELD NORTH,575000.0,u,20/05/2017,2,1.0,1.0,0.0,49.0,-37.8692,145.0233,19944,620.52,20.8,False,1593.33,6648.33,530.0,Caulfield Junior College,358.17,226,Oakwood School,1093.61,565
ID146405615,54 Kent St,KEW,1350000.0,h,23/09/2017,3,2.0,1.0,275.0,27.0,-37.80442,145.04085,19904,1936.85,15.67,False,288.0,712.0,75.67,Sacred Heart School,513.92,66,Ruyton Girls' School,759.15,5
ID958257195,150 Page St,MIDDLE PARK,1750000.0,h,27/05/2017,3,2.0,0.0,138.0,134.0,-37.84962,144.95856,19958,2751.25,13.5,False,313.33,545.33,65.67,Middle Park Primary School,222.25,242,Albert Park College,1121.41,131
ID341194770,3/1 Edinburgh St,HAMPTON,810000.0,u,15/10/2016,3,1.0,1.0,195.0,59.0,-37.9396,145.0156,19949,1253.55,31.5,False,1683.67,8938.67,509.33,Sandringham Primary School,1050.95,353,St Leonard's College,1410.66,43
ID358171769,2/618 Sydney Rd,COBURG,600000.0,t,25/02/2017,3,1.0,1.0,102.0,43.0,-37.736,144.9665,19964,424.06,34.0,False,1097.67,5916.0,553.33,Australian International Academy of Education,49.59,not ranked,Australian International Academy of Education,49.59,not ranked
ID610360217,1 Tudor St,GLENROY,820000.0,h,10/12/2016,3,2.0,4.0,805.0,69.0,-37.708,144.9211,20032,515.17,36.0,False,1683.67,8938.67,509.33,Corpus Christi School,481.34,not ranked,Glenroy Secondary College,502.44,511
ID513106542,2/17 Bulla Rd,ESSENDON NORTH,396000.0,u,3/09/2016,2,1.0,1.0,0.0,44.0,-37.7428,144.9086,20036,1191.88,27.0,False,334.67,1407.67,88.33,Essendon North Primary School,496.96,261,Buckley Park College,1068.75,123
ID541332521,14 New St,ARMADALE,1300000.0,h,18/06/2016,3,1.0,2.0,212.0,119.0,-37.8542,145.0149,19946,391.22,18.21,False,2489.67,11817.33,1268.67,Armadale Primary School,337.68,87,The King David School,592.23,27
ID399605555,13 Wood St,BENTLEIGH,1910000.0,h,18/06/2016,4,2.0,4.0,736.0,69.0,-37.9224,145.0462,19939,979.87,35.15,False,925.67,4701.33,308.67,St Paul's School,418.4,211,Our Lady of the Sacred Heart College,662.42,not ranked
ID306552689,97 Haldane Rd,NIDDRIE,770000.0,t,7/05/2016,3,2.0,1.0,313.0,8.0,-37.7335,144.8788,20036,4011.09,27.0,False,71.0,261.0,20.0,Niddrie Primary School,297.25,445,Penleigh & Essendon Grammar School,759.98,not ranked
ID750985232,16 York St,GLENROY,722000.0,h,28/08/2016,3,1.0,3.0,781.0,69.0,-37.7048,144.9097,20032,662.98,36.0,False,1683.67,8938.67,509.33,Glenroy West Primary School,125.14,not ranked,Glenroy Secondary College,1347.11,511
ID485079780,3/124 Canterbury Rd,CANTERBURY,685000.0,u,27/11/2016,2,1.0,1.0,122.0,24.0,-37.8236,145.0729,19892,486.53,21.79,False,3703.67,18944.0,2039.33,Strathcona Baptist Girls' Grammar,903.44,69,Canterbury Girls Secondary College,497.37,not ranked
ID857324604,9/823 Rathdowne St,CARLTON NORTH,468000.0,u,11/03/2017,1,1.0,1.0,861.0,49.0,-37.7851,144.9723,19969,1641.79,24.33,False,3767.67,18925.0,2042.33,Princes Hill Primary School,640.46,not ranked,Princes Hill Secondary College,664.5,not ranked
ID866433680,1211/50 Albert Rd,SOUTH MELBOURNE,530000.0,u,3/06/2017,2,1.0,1.0,1646.0,7.0,-37.83406,144.97131000000005,19854,1794.93,3.18,False,1245.0,3886.0,447.67,Melbourne Grammar School,511.09,79,MacRobertson Girls High School,208.98,not ranked
ID777269209,20 Walter St,GLEN WAVERLEY,1715000.0,h,17/06/2017,4,1.0,2.0,758.0,39.0,-37.86924000000001,145.16471,19899,5487.59,31.67,False,56.33,98.33,19.0,Glendal Primary School,553.38,19,Glen Waverley Secondary College,1012.25,not ranked
ID887562038,61 Union St,ARMADALE,3660000.0,h,25/02/2017,4,3.0,2.0,421.0,99.0,-37.8593,145.0275,19945,785.27,19.21,False,2494.67,11307.0,1410.0,St Joseph's School,349.88,113,De La Salle College,449.49,115
ID554816890,8 Vickery St,BENTLEIGH,1900000.0,h,24/06/2017,5,1.0,2.0,644.0,59.0,-37.91753,145.03907,19939,182.59,35.15,False,959.0,4476.67,324.0,St Paul's School,625.96,211,Our Lady of the Sacred Heart College,915.23,not ranked
ID975414347,25 Gray St,BRUNSWICK,1755000.0,h,28/08/2016,4,2.0,1.0,354.0,109.0,-37.7745,144.9523,19969,567.21,24.33,False,958.67,5673.0,628.0,Brunswick South West Primary School,887.4,316,Brunswick Secondary College,466.42,211
ID581657736,81 Marlborough St,BENTLEIGH EAST,1430000.0,h,27/05/2017,3,2.0,2.0,614.0,69.0,-37.91068,145.06802,19918,1950.94,27.35,False,959.0,4476.67,324.0,Hughesdale Primary School,1002.06,221,McKinnon Secondary College,1718.78,48
ID858488564,84 MacPherson St,FOOTSCRAY,1320000.0,h,19/08/2017,3,2.0,0.0,495.0,104.0,-37.796,144.88966000000005,20024,741.42,17.4,False,2047.67,9171.0,742.33,Footscray Primary School,374.73,not ranked,Gilmore College For Girls,574.66,387
ID813395146,16/116 Arthurton Rd,NORTHCOTE,418000.0,u,7/05/2016,2,1.0,1.0,1882.0,8.0,-37.768,144.9895,20016,549.14,21.3,False,136.33,302.67,42.0,Northcote Primary School,772.47,285,Northcote High School,685.51,178
ID755736089,8/66 Riddell Pde,ELSTERNWICK,577000.0,u,28/05/2016,2,1.0,0.0,0.0,129.0,-37.8889,145.0043,19954,549.94,21.5,False,1566.67,8895.33,491.0,Leibler Yavneh College,486.98,not ranked,Leibler Yavneh College,486.98,28
ID505133136,3/18 Furzer St,PRESTON,605000.0,u,26/07/2016,3,1.0,2.0,192.0,7.0,-37.7277,144.9851,20011,1557.92,31.2,False,659.0,5219.33,338.33,Newlands Primary School,269.71,not ranked,Coburg High School,1807.41,79
ID606818604,22 Stanley St,BRUNSWICK,1770000.0,h,23/09/2017,4,2.0,3.0,461.0,89.0,-37.76296,144.97239,19967,1047.76,27.33,False,941.33,5813.0,575.67,St Margaret Mary's School,604.03,483,Sydney Road Community School,1190.42,447
ID607471455,5 Charles St,SUNSHINE NORTH,705000.0,h,25/02/2017,4,2.0,1.0,570.0,79.0,-37.7749,144.8329,20004,783.57,26.38,False,1412.0,6364.0,699.33,St Bernadette's School,466.17,230,Braybrook College,1340.97,139
ID700886559,38 Stanhope St,BROADMEADOWS,632000.0,h,12/08/2017,3,1.0,4.0,697.0,59.0,-37.68557,144.93156000000005,20030,1089.22,40.0,False,684.0,1695.67,161.0,Meadows Primary School,281.22,not ranked,Sirius College,371.6,not ranked
ID411840617,1/5 Thistle St,ESSENDON,350000.0,h,22/04/2017,1,1.0,1.0,46.0,49.0,-37.7515,144.9125,20037,598.45,24.0,False,330.33,1855.0,82.0,St Therese's School,197.64,387,St Columba's College,653.99,85
ID451754443,2 Sanicki Ct,BENTLEIGH EAST,670000.0,t,27/11/2016,3,1.0,2.0,233.0,59.0,-37.9376,145.0784,19872,3425.64,40.17,False,925.67,4701.33,308.67,East Bentleigh Primary School,860.03,not ranked,St James' College,1384.19,not ranked
ID840322483,567 Grimshaw St,BUNDOORA,1234000.0,h,19/08/2017,3,1.0,2.0,896.0,54.0,-37.70042,145.0614,19984,2294.68,37.67,False,684.0,1695.67,161.0,St Damian's School,426.28,394,Bundoora Secondary College,789.87,531
ID510648692,22 Milliara Gr,BRIGHTON EAST,1880000.0,h,13/05/2017,8,3.0,3.0,614.0,94.0,-37.9097,145.0161,19952,1300.72,24.5,False,2897.33,11243.0,942.0,Gardenvale Primary School,566.71,138,Brighton Secondary College,1193.75,213
ID838265999,196 Blyth St,ALTONA,1480000.0,h,13/05/2017,5,3.0,4.0,725.0,39.0,-37.8712,144.8107,19925,715.41,28.5,False,2494.67,11307.0,1410.0,Altona Primary School,1127.33,213,Mount St Joseph Girls' College,816.89,119
ID294835206,8 Centenary Cr,WERRIBEE,383000.0,h,22/07/2017,3,1.0,2.0,548.0,59.0,-37.8889,144.65743999999995,19921,1210.31,35.14,False,98.67,190.67,19.0,Westgrove Primary School,1171.94,not ranked,Wyndham Central Secondary College,315.41,not ranked
ID631739712,13 Crawley St,RESERVOIR,1015000.0,h,8/10/2016,4,1.0,1.0,518.0,99.0,-37.726,145.0044,20011,303.43,31.2,False,824.67,1890.33,159.33,Preston Primary School,725.99,250,Preston High School,1752.43,not ranked
ID572340964,48 Thomas St,BRIGHTON EAST,1000000.0,h,10/09/2016,2,1.0,2.0,564.0,71.0,-37.9143,145.0238,19939,1209.87,35.15,False,2744.33,10289.67,780.0,St Finbar's School,598.66,336,Brighton Secondary College,770.66,213
ID384280028,19 Glassford St,ARMADALE,2365000.0,h,18/06/2016,3,2.0,1.0,316.0,53.0,-37.8521,145.019,19946,471.24,18.21,False,2489.67,11817.33,1268.67,Armadale Primary School,108.27,87,Lauriston Girls' School,535.74,not ranked
ID725035685,6/105 Cochrane St,BRIGHTON,845000.0,u,29/07/2017,2,1.0,1.0,100.0,59.0,-37.89569,144.99881000000005,19953,483.82,23.5,False,2897.33,11243.0,942.0,St James' School,270.68,248,Star of the Sea College,212.85,54
ID665034538,3 Mantaura Av,TAYLORS LAKES,704000.0,h,15/07/2017,4,2.0,2.0,644.0,29.0,-37.71128,144.80686,20001,2312.91,34.38,False,502.67,1662.67,118.67,St Mary MacKillop Primary School,433.2,not ranked,Keilor Downs Secondary College,606.11,not ranked
ID886878881,6 Sanderson St,YARRAVILLE,890000.0,h,3/09/2016,2,1.0,2.0,471.0,69.0,-37.8149,144.8707,19996,1694.71,11.36,False,703.67,1502.0,135.67,Kingsville Primary School,432.35,451,Gilmore College For Girls,2760.24,387
ID549540545,8/2 Pottery Ct,BRUNSWICK,641000.0,t,14/05/2016,3,2.0,1.0,0.0,119.0,-37.7703,144.9533,19968,623.26,25.33,False,958.67,5673.0,628.0,Brunswick South West Primary School,860.94,316,Brunswick Secondary College,164.58,211
ID579417244,3 Bruthen St,MOORABBIN,1175000.0,h,1/07/2017,3,2.0,6.0,650.0,125.0,-37.9379,145.05456,19937,1613.71,38.27,False,84.33,293.33,23.0,St Catherine's School,212.82,117,Bentleigh Secondary College,1260.51,230
ID394929712,3/8 Ashted Rd,BOX HILL,636000.0,u,19/11/2016,2,1.0,1.0,151.0,49.0,-37.8234,145.1235,20042,499.5,25.77,True,2744.33,10289.67,780.0,St Francis Xavier's School,890.08,376,Our Lady of Sion College,796.72,69
ID263320723,2/13 Spencer St,NORTHCOTE,844000.0,h,16/04/2016,2,1.0,1.0,174.0,24.0,-37.7642,144.9963,20015,67.45,23.3,False,136.33,302.67,42.0,Northcote Primary School,842.88,285,Santa Maria College,874.83,137
ID666364207,3/30 Tanner St,RICHMOND,575500.0,u,29/07/2017,2,1.0,1.0,0.0,19.0,-37.82328,144.99203,19908,186.37,9.54,True,885.0,1901.0,227.67,Richmond Primary School,934.69,260,Melbourne Girls Grammar,1131.65,21
ID904333647,6/138 New St,BRIGHTON,375000.0,u,15/10/2016,1,1.0,1.0,0.0,54.0,-37.9181,144.993,19951,439.23,26.5,False,2744.33,10289.67,780.0,St Joan of Arc School,245.45,95,Brighton Grammar School,779.69,46
ID563549381,1/271 Williams Rd,SOUTH YARRA,660000.0,u,27/06/2016,2,1.0,1.0,0.0,54.0,-37.8414,145.0043,19947,402.68,16.21,True,1100.67,3636.33,457.33,Toorak Primary School,640.75,83,Melbourne High School,939.66,2
ID475937924,29 Neville St,MENTONE,1002500.0,h,26/08/2017,3,1.0,2.0,560.0,44.0,-37.97738,145.07168,19865,758.94,44.69,False,50.33,68.0,12.0,Mentone Primary School,700.06,not ranked,Kilbreda College,917.96,145
ID530761047,20 Warner St,ESSENDON,890000.0,h,16/04/2016,2,1.0,1.0,649.0,69.0,-37.7445,144.9133,20036,736.94,27.0,False,334.67,1407.67,88.33,St Therese's School,781.59,387,Buckley Park College,1398.97,123
ID535180571,2/32 Kitchener Gr,PRESTON,798000.0,u,15/10/2016,3,2.0,2.0,212.0,14.0,-37.7359,145.0147,20012,1285.76,28.3,False,659.0,5219.33,338.33,Preston Primary School,710.15,250,Preston High School,978.73,not ranked
ID642319947,71 Cecil St,KEW,2200000.0,h,7/05/2016,4,1.0,2.0,735.0,34.0,-37.8028,145.0534,19903,2280.59,17.9,False,271.67,771.67,74.0,Genazzano FCJ College,718.41,40,Genazzano FCJ College,718.41,not ranked
ID629708316,27 McMahon Cr,TARNEIT,350000.0,h,26/08/2017,3,1.0,1.0,466.0,16.0,-37.86744,144.65608999999995,19921,3582.59,35.14,False,1479.33,4398.67,502.0,Bethany Catholic Primary School,934.51,not ranked,Islamic College of Melbourne,1517.33,414
ID649322538,1/33 Oconnor St,RESERVOIR,672000.0,t,29/07/2017,2,1.0,1.0,243.0,7.0,-37.71045,145.0018,20009,736.58,35.2,True,885.0,1901.0,227.67,Reservoir Primary School,450.8,not ranked,William Ruthven Secondary College,1536.79,not ranked
ID505960560,4 James St,BRUNSWICK WEST,1097000.0,h,13/05/2017,3,1.0,1.0,372.0,79.0,-37.7634,144.9434,19968,1503.4,25.33,False,941.33,5813.0,575.67,St Joseph's School,128.98,113,Brunswick Secondary College,1319.31,211
ID550355761,5 Black St,BRUNSWICK,1700000.0,h,18/06/2016,3,2.0,1.0,0.0,74.0,-37.7763,144.9597,19969,169.83,24.33,False,958.67,5673.0,628.0,Princes Hill Primary School,868.72,not ranked,Brunswick Secondary College,729.22,211
ID424320625,695 Heatherton Rd,CLAYTON SOUTH,1250500.0,h,9/09/2017,3,1.0,2.0,1226.0,69.0,-37.95988,145.13279,19913,2149.85,39.48,False,84.67,371.67,13.0,Spring Parks Primary School,600.73,not ranked,Killester College,1689.91,182
ID461063454,13/54 Studley Park Rd,KEW,820000.0,u,6/08/2016,2,1.0,2.0,0.0,34.0,-37.8066,145.0211,19905,1702.28,13.95,False,271.67,771.67,74.0,Kew Primary School,1129.73,356,Xavier College,1194.56,53
ID394562484,11/62 Edgar St N,GLEN IRIS,501000.0,u,8/07/2017,2,1.0,1.0,2015.0,59.0,-37.85019000000001,145.0465,19944,2341.83,20.8,False,2047.67,9171.0,742.33,Bialik College,923.65,148,Alia College,784.05,500
ID729919156,4 Tyrone Ct,WHEELERS HILL,1194700.0,h,19/08/2017,4,2.0,2.0,875.0,83.0,-37.92048,145.18258,19913,4120.93,39.48,False,990.0,3070.0,411.0,Waverley Meadows Primary School,654.83,not ranked,Wheelers Hill Secondary College,1154.92,not ranked
ID731869155,10 Tuppen St,YARRAVILLE,1287000.0,h,27/11/2016,5,2.0,2.0,488.0,89.0,-37.8131,144.8778,19996,1110.1,11.36,False,703.67,1502.0,135.67,Kingsville Primary School,282.06,451,Gilmore College For Girls,2165.09,387
ID339157834,14 Everard Rd,RINGWOOD EAST,937000.0,h,26/08/2017,2,2.0,2.0,736.0,59.0,-37.80401,145.25225,19879,904.19,41.64,False,1609.33,6840.67,525.67,Mullum Primary School,1325.34,not ranked,Melba Secondary College,1276.88,not ranked
ID332208744,50 Peel St,NEWPORT,1195000.0,h,12/08/2017,3,2.0,2.0,358.0,2.0,-37.84586,144.88948,19994,624.13,16.31,False,84.33,293.33,23.0,Westbourne Grammar School,679.53,58,Bayside P-12 College,1370.31,243
ID656240723,1/26 Thorpe St,NEWPORT,826000.0,h,3/09/2016,3,1.0,2.0,281.0,62.0,-37.8457,144.8651,19994,1659.78,16.31,False,71.0,261.0,20.0,Newport Gardens Primary School,332.58,411,Bayside P-12 College,2215.84,243
ID597862518,109 Thomas St,BRIGHTON EAST,1400000.0,h,4/06/2016,5,3.0,4.0,824.0,89.0,-37.9091,145.0245,19940,1219.37,33.15,False,2744.33,10289.67,780.0,Ormond Primary School,838.52,112,Divrei Emineh,1112.8,not ranked
ID227346411,9/46 Darling St,SOUTH YARRA,625000.0,u,10/12/2016,2,1.0,1.0,1283.0,39.0,-37.8359,144.9921,19959,284.58,12.54,False,1100.67,3636.33,457.33,Christ Church Grammar School,654.4,14,Melbourne High School,300.89,2
ID576140890,11/39 Horne St,ELSTERNWICK,820000.0,t,12/11/2016,3,2.0,2.0,108.0,17.0,-37.8858,145.0012,19954,119.52,21.5,False,1566.67,8895.33,491.0,Sholem Aleichem College,390.83,34,Adass Israel School,650.8,534
ID248820707,182 Buckingham St,RICHMOND,1255000.0,t,17/06/2017,3,2.0,1.0,124.0,11.0,-37.8147,145.00852,19906,1434.07,11.9,False,885.0,1901.0,227.67,Yarra Primary School,91.53,475,Lynall Hall Community School,585.21,559
ID452512911,6 Kittyhawk St,AIRPORT WEST,773000.0,h,17/09/2016,4,3.0,4.0,531.0,39.0,-37.7263,144.8679,20033,4811.79,34.0,False,1202.0,5034.33,333.0,Penleigh & Essendon Grammar School,686.06,126,Penleigh & Essendon Grammar School,686.06,not ranked
ID473890803,25 Fyfe St,RESERVOIR,575000.0,t,27/05/2017,2,2.0,1.0,151.0,4.0,-37.70426,145.01203999999996,20009,461.9,35.2,False,885.0,1901.0,227.67,Maharishi School of the Age of Enlightenment,654.24,not ranked,William Ruthven Secondary College,1175.01,not ranked
ID834813196,288 Church St,RICHMOND,1555000.0,h,25/02/2017,3,2.0,1.0,189.0,119.0,-37.82,144.9987,19978,851.86,9.12,False,885.0,1901.0,227.67,Richmond West Primary School,755.93,452,Richmond High School,462.05,not ranked
ID833137120,40 Carlton St,CARLTON,1662000.0,h,7/05/2016,3,1.0,0.0,118.0,25.0,-37.8009,144.9729,19843,1130.32,6.1,True,97.67,243.0,33.0,Carlton Gardens Primary School,324.2,199,Academy of Mary Immaculate,339.9,144
ID212599790,2/6 Murra Ct,ASHWOOD,700000.0,u,22/08/2016,2,1.0,2.0,192.0,12.0,-37.8709,145.102,19847,1984.39,31.67,False,1654.0,9119.67,550.0,Parkhill Primary School,990.08,not ranked,Ashwood High School,718.96,241
ID604140711,2 Kershaw St,PARKDALE,1320000.0,h,3/09/2017,4,2.0,5.0,600.0,69.0,-37.99806,145.08829,19863,950.36,50.07,False,938.33,6892.67,553.33,Parkdale Primary School,742.52,128,Parkdale Secondary College,977.23,234
ID436967620,6 Whernside Ct,MILL PARK,710000.0,h,15/07/2017,4,1.0,2.0,666.0,34.0,-37.67626,145.0659,45795,3018.48,49.22,False,1508.33,6073.0,553.67,Mill Park Primary School,184.15,not ranked,Mill Park Secondary College,1365.18,484
ID887222190,11 Margaret Gr,ALPHINGTON,1900000.0,h,27/11/2016,4,2.0,2.0,556.0,89.0,-37.7844,145.0225,19930,762.27,22.0,False,1202.0,5034.33,333.0,St Anthony's School,517.51,485,Alphington Grammar School,1281.66,86
ID213060794,43 Talintyre Rd,SUNSHINE WEST,530000.0,h,27/11/2016,3,1.0,1.0,623.0,49.0,-37.8004,144.8138,20021,2135.51,24.56,False,2403.67,5212.33,586.67,Glengala Primary School,159.05,not ranked,Marian College,1563.4,not ranked
ID623669861,2 Kimber St,RICHMOND,1285000.0,h,22/05/2016,3,2.0,1.0,123.0,59.0,-37.8267,145.0122,19906,419.48,11.9,True,824.67,1890.33,159.33,Hawthorn West Primary School,912.59,125,Melbourne Girls College,503.06,not ranked
ID195076819,58 Draper St,ORMOND,1845000.0,h,15/10/2016,4,3.0,1.0,718.0,80.0,-37.9061,145.0509,19941,1042.17,32.15,False,268.33,736.0,128.33,McKinnon Primary School,273.44,282,McKinnon Secondary College,710.26,48
ID357423923,3 Dunlop St,ASHBURTON,1555000.0,h,4/06/2016,3,2.0,2.0,731.0,84.0,-37.8666,145.0676,19847,1076.59,31.67,False,1654.0,9119.67,550.0,Glen Iris Primary School,697.24,120,Korowa Anglican Girls' School,1275.12,13
ID502305615,6 Everest Ct,LALOR,596000.0,h,16/09/2017,3,1.0,2.0,570.0,79.0,-37.66422,144.99893,20006,1619.52,42.22,False,1360.67,6408.67,691.67,Lalor Gardens Primary School,221.1,not ranked,Peter Lalor Secondary College,1288.71,not ranked
ID823149836,19 Golf Rd,COBURG NORTH,700000.0,h,3/06/2017,2,1.0,1.0,303.0,39.0,-37.73285,144.97274,19964,874.73,34.0,False,1097.67,5916.0,553.33,Australian International Academy of Education,699.64,not ranked,Australian International Academy of Education,699.64,not ranked
ID581801002,41 Witken Av,WANTIRNA SOUTH,930000.0,h,29/07/2017,4,2.0,2.0,639.0,34.0,-37.8789,145.24262,19869,4205.58,48.18,False,98.67,190.67,19.0,Holy Trinity School,161.46,not ranked,St Andrews Christian College,587.7,135
ID734790163,169 Balcombe Rd,MENTONE,1700000.0,h,17/06/2017,4,2.0,2.0,731.0,39.0,-37.98035,145.05593000000005,19865,827.74,44.69,False,50.33,68.0,12.0,Mentone Primary School,1095.36,not ranked,Mentone Girls Secondary College,213.68,not ranked
ID312328907,4/30 Weir St,BALWYN,605000.0,u,4/06/2016,2,1.0,1.0,0.0,18.0,-37.8152,145.0843,19893,1068.4,23.77,False,925.67,4701.33,308.67,Balwyn Primary School,292.86,16,Fintona Girls' School,349.5,not ranked
ID654098935,21/62 Wattletree Rd,ARMADALE,821000.0,u,12/08/2017,2,2.0,1.0,3093.0,13.0,-37.86165,145.02148,19945,608.78,19.21,False,2494.67,11307.0,1410.0,St Joseph's School,939.74,113,The King David School,1037.95,27
